"number";"player";"team";"apps";"min";"goals";"NPG";"a"
72;"Alex Iwobi";"Fulham";29;2473;4;4;3
73;"Mikel Merino";"Arsenal";22;1002;4;4;3
74;"Declan Rice";"Arsenal";36;3111;4;4;5
75;"Cristian Romero";"Tottenham";23;1878;4;4;1
76;"Lucas Paquetá";"West Ham";18;1544;4;2;1
77;"Taiwo Awoniyi";"Nottingham Forest";17;441;4;4;1
78;"Mathis Cherki";"Manchester City";33;1792;4;4;12
79;"Malick Thiaw";"Newcastle United";35;2968;4;4;0
80;"Mikkel Damsgaard";"Brentford";33;2085;4;4;4
81;"Elliot Anderson";"Nottingham Forest";38;3329;4;3;4
82;"Donyell Malen";"Aston Villa";21;600;4;4;1
83;"Mathys Tel";"Tottenham";31;1324;4;4;1
84;"Micky van de Ven";"Tottenham";35;3049;4;4;1
85;"Brenden Aaronson";"Leeds";37;2517;4;4;5
86;"Jørgen Strand Larsen";"Crystal Palace,Wolverhampton Wanderers";36;2353;4;3;1
87;"Jack Hinshelwood";"Brighton";27;1773;4;4;3
88;"Patrick Dorgu";"Manchester United";26;1436;4;4;4
89;"Daniel Muñoz";"Crystal Palace";29;2417;4;4;3
90;"Chemsdine Talbi";"Sunderland";28;1556;4;4;1
91;"Ross Barkley";"Aston Villa";21;818;3;3;1
92;"Michael Keane";"Everton";33;2586;3;3;1
93;"Dominic Solanke";"Tottenham";15;989;3;3;0
94;"Chris Wood";"Nottingham Forest";15;913;3;3;0
95;"Alexander Isak";"Liverpool";14;717;3;3;1
96;"Gabriel Jesus";"Arsenal";14;395;3;3;0
97;"Gabriel";"Arsenal";32;2748;3;3;4
98;"Nordi Mukiele";"Sunderland";32;2793;3;3;3
99;"Jacob Murphy";"Newcastle United";33;1630;3;3;2
100;"Callum Hudson-Odoi";"Nottingham Forest";30;1857;3;3;4
101;"Trevoh Chalobah";"Chelsea";34;2781;3;3;0
102;"Konstantinos Mavropanos";"West Ham";31;2518;3;3;0
103;"Ryan Sessegnon";"Fulham";27;1830;3;3;1
104;"Georginio Rutter";"Brighton";32;1784;3;3;3
105;"Mathias Jensen";"Brentford";36;2258;3;3;1
106;"Samuel Chukwueze";"Fulham";23;1052;3;3;4
107;"Emile Smith-Rowe";"Fulham";37;1933;3;3;0
108;"Lyle Foster";"Burnley";26;1375;3;3;2
109;"Marc Guehi";"Crystal Palace,Manchester City";35;3150;3;3;3
110;"Mason Mount";"Manchester United";23;1021;3;3;0
111;"Amine Adli";"Bournemouth";31;1036;3;3;1
112;"Omar Marmoush";"Manchester City";21;693;3;3;3
113;"Matthew Cash";"Aston Villa";35;3040;3;3;3
114;"Tolu Arokodare";"Wolverhampton Wanderers";33;1357;3;3;1
115;"Chimuanya Ugochukwu";"Burnley";35;2407;3;3;1
116;"Moisés Caicedo";"Chelsea";33;2811;3;3;1
117;"Kaoru Mitoma";"Brighton";25;1723;3;3;1
118;"Jan Paul van Hecke";"Brighton";36;3214;3;3;3
119;"Keane Lewis-Potter";"Brentford";36;1949;3;3;3
120;"Santiago Bueno";"Wolverhampton Wanderers";29;2549;3;3;1
121;"Yasin Ayari";"Brighton";29;1918;3;3;3
122;"Jurriën Timber";"Arsenal";30;2475;3;3;5
123;"Alex Scott";"Bournemouth";37;2915;3;3;1
124;"Rodrigo Gomes";"Wolverhampton Wanderers";22;951;3;3;0
125;"Yankuba Minteh";"Brighton";34;2410;3;3;4
126;"Mateus Fernandes";"West Ham";36;3044;3;3;4
127;"Mateus Mané";"Wolverhampton Wanderers";27;1784;3;3;1
128;"Joelinton";"Newcastle United";27;1958;2;2;1
129;"Idrissa Gueye";"Everton";25;2120;2;2;3
130;"Jack Grealish";"Everton";20;1645;2;2;6
131;"Tammy Abraham";"Aston Villa";12;253;2;2;0
132;"Josh Cullen";"Burnley";18;1533;2;2;2
133;"Federico Chiesa";"Liverpool";26;247;2;2;1
134;"James Tarkowski";"Everton";37;3330;2;2;3
135;"Bernardo Silva";"Manchester City";38;2917;2;2;4
136;"Adam Armstrong";"Wolverhampton Wanderers";14;1170;2;1;2
137;"Kai Havertz";"Arsenal";12;582;2;2;3
138;"Ibrahim Sangare";"Nottingham Forest";28;2111;2;2;2
139;"Joe Rodon";"Leeds";35;2954;2;2;0
140;"Eddie Nketiah";"Crystal Palace";12;396;2;2;0
141;"Tom Cairney";"Fulham";24;747;2;2;0
142;"Justin Kluivert";"Bournemouth";20;934;2;2;0
143;"Sean Longstaff";"Leeds";23;999;2;2;2
144;"Tyler Adams";"Bournemouth";25;1805;2;2;2
145;"James Garner";"Everton";38;3417;2;2;7
146;"James Justin";"Leeds";29;1895;2;2;1
147;"Joshua Zirkzee";"Manchester United";24;573;2;2;1
